responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field
4203	4203	14/10/2015	14/10/2015	complete	Yes	0	0	1	0	Not at all familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	No	No	No	No	No	No	Student	Earth and Environmental Science
4208	4208	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Not at all familiar	0	0	0	1	0	0	I don't know	I am unsure	50%	"...worse than for other scientific fields on average."""	No	No	No	No	Yes	No	Professor	Physics
4214	4214	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Biology
4219	4219	15/10/2015	15/10/2015	complete	Yes	0	0	0	1	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	0%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	PhD Student	Other
4225	4225	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	60%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Materials Science
4228	4228	15/10/2015	15/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	I am unsure	No	Yes	No	No	No	No	Professor	Biology
4229	4229	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology
4230	4230	15/10/2015	15/10/2015	complete	Yes	1	0	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	Yes	Yes	Yes	Principal Investigator	Biology
4231	4231	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Too much	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Student	Materials Science
4232	4232	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Technician/Research Assistant	Earth and Environmental Science
4234	4234	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	1	0	There is a slight crisis of reproducibility	Not enough	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Professor	Biology
4242	4242	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	Yes	No	Associate professor/Lecturer	Other
4245	4245	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...better than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	PhD Student	Biology
4286	4286	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology
4289	4289	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	I am unsure	70%	"...about the same as for other scientific fields on average"""	Yes	No	Yes	No	No	No	Other (please specify)	Biology
4290	4290	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	No	Yes	Yes	No	I can't remember	I can't remember	Senior Scientist	Engineering
4292	4292	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	1	1	0	0	There is a slight crisis of reproducibility	I am unsure	40%	I am unsure	No	Yes	Yes	Yes	I can't remember	I can't remember	PhD Student	Medicine
4305	4305	15/10/2015	15/10/2015	complete	Yes	1	0	0	0	Somewhat familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	No	No	No	No	Yes	PhD Student	Materials Science
4311	4311	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	There is no crisis of reproducibility	Too much	90%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Medicine
4320	4320	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
4321	4321	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	70%	I am unsure	Yes	Yes	No	No	No	No	Senior Scientist	Medicine
4326	4326	15/10/2015	15/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	1	1	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	Post-doctoral Fellow	Biology
4332	4332	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	I don't know	I am unsure	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Other
4335	4335	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	I don't know	I am unsure	60%	"...about the same as for other scientific fields on average"""	I can't remember	Yes	No	No	I can't remember	No	PhD Student	Chemistry
4338	4338	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Biology
4345	4345	15/10/2015	15/10/2015	complete	Yes	1	0	0	0	Fairly familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	I am unsure	Yes	Yes	No	Yes	No	No	Senior Scientist	Biology
4349	4349	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	Yes	No	Laboratory Director/Head	Medicine
4353	4353	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	0	0	1	0	0	I don't know	Not enough	40%	"...worse than for other scientific fields on average."""	I can't remember	No	No	No	No	No	Student	Biology
4360	4360	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
4363	4363	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Not very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	No	Yes	Yes	I can't remember	No	No	PhD Student	Chemistry
4365	4365	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	1	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Physics
4368	4368	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	0	0	1	I don't know	A reasonable amount	10%	I am unsure	No	No	No	No	No	No	PhD Student	Earth and Environmental Science
4370	4370	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	I am unsure	I can't remember	Yes	No	Yes	No	Yes	Other (please specify)	Physics
4373	4373	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology
4380	4380	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	Yes	Other (please specify)	Biology
4401	4401	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	1	0	1	1	0	0	There is a significant crisis of reproducibility	I am unsure	30%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Post-doctoral Fellow	Other
4413	4413	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	Yes	Laboratory Director/Head	Chemistry
4437	4437	15/10/2015	15/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	PhD Student	Other
4454	4454	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Student	Medicine
4464	4464	15/10/2015	15/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	No	I can't remember	Yes	No	I can't remember	Professor	Biology
4469	4469	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	I don't know	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	I can't remember	No	No	No	No	Principal Investigator	Biology
4478	4478	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	50%	"...worse than for other scientific fields on average."""	Yes	Yes	I can't remember	I can't remember	No	No	Student	Other
4497	4497	15/10/2015	15/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
4507	4507	15/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	90%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Professor	Other
4515	4515	16/10/2015	16/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Principal Investigator	Medicine
4516	4516	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	100%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Post-doctoral Fellow	Physics
4518	4518	16/10/2015	16/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	1	0	There is no crisis of reproducibility	I am unsure	10%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Other
4531	4531	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
4532	4532	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	I can't remember	I can't remember	No	No	PhD Student	Biology
4554	4554	16/10/2015	16/10/2015	complete	Yes	0	0	1	0	Very familiar	1	0	0	0	0	0	I don't know	Not enough	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Research Scientist	Chemistry
4583	4583	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Scientist	Other
4588	4588	16/10/2015	16/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	0	0	0	0	1	I don't know	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	No	No	No	I can't remember	I can't remember	Laboratory Director/Head	Engineering
4591	4591	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	I am unsure	60%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	Senior Scientist	Biology
4596	4596	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Engineering
4602	4602	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	Yes	Senior Scientist	Physics
4608	4608	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	1	0	There is a significant crisis of reproducibility	I am unsure	60%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Medical Professional/Doctor	Medicine
4609	4609	16/10/2015	16/10/2015	complete	Yes	0	0	1	0	Not very familiar	0	0	0	0	0	1	I don't know	I am unsure	40%	I am unsure	No	No	No	No	No	No	PhD Student	Physics
4612	4612	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	0	0	1	I don't know	I am unsure	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Research Scientist	Earth and Environmental Science
4617	4617	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Materials Science
4622	4622	16/10/2015	16/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	No	No	Research Scientist	Biology
4650	4650	16/10/2015	16/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	0	1	0	There is a significant crisis of reproducibility	Not enough	30%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	Yes	Associate professor/Lecturer	Other
4652	4652	16/10/2015	16/10/2015	complete	Yes	0	0	0	1	Fairly familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	PhD Student	Other
4655	4655	16/10/2015	16/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	No	No	Yes	Yes	Yes	PhD Student	Medicine
4663	4663	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	I am unsure	Yes	No	No	No	No	No	Associate professor/Lecturer	Biology
4666	4666	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Research Scientist	Biology
4669	4669	16/10/2015	16/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
4675	4675	16/10/2015	16/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Other
4690	4690	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	I am unsure	90%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	Yes	Associate professor/Lecturer	Chemistry
4691	4691	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	80%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Other
4698	4698	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Professor	Other
4700	4700	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Associate professor/Lecturer	Physics
4718	4718	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Senior Scientist	Physics
4719	4719	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology
4723	4723	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Principal Investigator	Biology
4737	4737	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	No	Yes	No	No	Yes	PhD Student	Chemistry
4738	4738	17/10/2015	17/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	10%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Biology
4743	4743	17/10/2015	17/10/2015	complete	Yes	0	0	1	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Physics
4745	4745	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Professor	Biology
4746	4746	17/10/2015	17/10/2015	complete	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	20%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	Yes	Professor	Biology
4748	4748	17/10/2015	17/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	PhD Student	Biology
4750	4750	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology
4756	4756	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	100%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	No	No	PhD Student	Engineering
4768	4768	17/10/2015	17/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Associate professor/Lecturer	Other
4788	4788	18/10/2015	18/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	Yes	No	PhD Student	Biology
4798	4798	18/10/2015	18/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Medical Professional/Doctor	Medicine
4832	4832	18/10/2015	18/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	20%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Medicine
4851	4851	18/10/2015	18/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	10%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Associate professor/Lecturer	Biology
4852	4852	18/10/2015	18/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Staff Scientist	Biology
4858	4858	18/10/2015	18/10/2015	complete	Yes	0	0	1	0	Somewhat familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	Yes	No	Student	Biology
4879	4879	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	40%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	I can't remember	Senior Scientist	Engineering
4880	4880	19/10/2015	19/10/2015	complete	Yes	0	0	0	1	Not very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Engineering
4881	4881	19/10/2015	19/10/2015	complete	Yes	0	0	1	0	Not very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	PhD Student	Other
4887	4887	19/10/2015	19/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Student	Medicine
4892	4892	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	I am unsure	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Engineering
4899	4899	19/10/2015	19/10/2015	complete	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Director/VP of Research	Engineering
4902	4902	19/10/2015	19/10/2015	complete	Yes	0	0	1	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology
4906	4906	19/10/2015	19/10/2015	complete	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology
4908	4908	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	Principal Investigator	Other
4937	4937	19/10/2015	19/10/2015	complete	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	I am unsure	Yes	Yes	No	No	No	No	Technician/Research Assistant	Biology
4938	4938	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology
4950	4950	19/10/2015	20/10/2015	complete	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	I can't remember	No	Post-doctoral Fellow	Biology
4964	4964	19/10/2015	19/10/2015	complete	Yes	0	0	0	1	Very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology
4966	4966	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Research Scientist	Physics
4967	4967	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	10%	I am unsure	Yes	Yes	Yes	Yes	Yes	Yes	Associate professor/Lecturer	Earth and Environmental Science
4974	4974	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Professor	Other
4975	4975	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Too much	30%	I am unsure	No	No	No	No	No	No	PhD Student	Earth and Environmental Science
4979	4979	19/10/2015	19/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology
4984	4984	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Other (please specify)	Physics
4986	4986	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology
4987	4987	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Somewhat familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Materials Science
4990	4990	19/10/2015	19/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other
4993	4993	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	I don't know	I am unsure	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Principal Investigator	Other
4994	4994	19/10/2015	19/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Principal Investigator	Other
